Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
participant-001,"[[1.166876510685651, 1.0582995778491322], [0.36769810430210875, 0.8011158084142229], [1.0333288802410068, 0.5926678043840687]]",0.5982023557467049,1,"[[0.7036014983403936, 1.824045702474347], [0.3914619480937812, 0.9879034448344313], [0.5042099077461051, 1.4753211262946384]]",1.3924551819418065,0,"[[1.5163748433937363, 1.1194606605910724], [0.3632399540429211, 0.713025226162556], [1.4303529952065548, 0.7415726862409282]]",0.7901779583001252,5,"[[1.393154251995718, 1.7881807130486067], [0.7680507393008653, 1.181605862855089], [1.0073784188165862, 1.1334943114839657]]",1.0613953135635386,8,"[[1.8563238569419371, 1.6839528052522237], [0.9608259569579359, 1.0339813270969758], [1.3879114682961653, 1.101919395740725]]",1.618539867732784,13,"[[0.604176447943341, 1.3875544718659565], [0.2667497337657768, 0.6348057113257027], [0.4817257522028758, 1.1703609297377213]]",0.7764061062994042,0,"[0.3328302025099176, 2.026105226333142e-55]","[0.12528533791765717, 8.589286704877037e-09]"
participant-002,"[[1.5136254209077424, 1.4786375462237666], [0.987455200312709, 0.8300954844373234], [0.9539554771477695, 1.0457362377674777]]",0.8139569642587374,0,"[[1.8642426047695533, 2.0824452561897773], [1.2819771214014128, 1.3354798376152768], [1.0688875152584598, 1.3248273410937486]]",1.5688381698067386,0,"[[1.224431053881877, 1.1942141212521231], [0.7447062299236848, 0.5835520996697676], [0.8218585761741692, 0.9099564172053343]]",0.7572991380713637,5,"[[2.4677575116172767, 2.501427565272693], [1.6440746068747856, 1.5939995785713017], [1.4531012612411474, 1.5442127889158195]]",1.3258338727134005,0,"[[2.0433972316019804, 1.9462973953906277], [1.258021628528946, 1.254583148666742], [1.320580378043803, 1.2246744246136112]]",1.3833144161375628,10,"[[1.3379346916397872, 1.7298263918757932], [0.8148570726943085, 0.9677607635890745], [0.9114580908972119, 1.3020422997624694]]",0.9652020400845611,0,"[0.5818970359156748, 4.902802896708397e-191]","[0.5846649515415476, 2.8412194664457895e-193]"
participant-003,"[[1.7767219193099257, 1.673431054517764], [0.4789048652704982, 0.6248778809457831], [1.6580777783245917, 1.4059869502413185]]",0.966899628369377,3,"[[1.6360812558424989, 2.750839991946834], [0.9987146102381174, 1.253637718438678], [1.1498080234223815, 2.367092912033614]]",2.103726392303926,0,"[[1.696123063897021, 2.6233047569262875], [0.6664774606891655, 0.7862606499884842], [1.499924646868363, 2.3599051203963812]]",1.499994580425521,5,"[[2.015604276460207, 2.740399356857383], [0.9631563812290815, 1.0524100048778713], [1.6049600314413854, 2.2499324676301136]]",1.5374154586295914,7,"[[1.3741538359875585, 2.790325944633575], [0.6702798176737453, 0.6761454113536957], [1.0756278332963445, 2.6160317960597848]]",1.6843038267793342,8,"[[1.4081516576754376, 3.4622994668884393], [0.6388610599616671, 0.7512012495477759], [1.188454764311683, 3.2769085757521337]]",1.940981161365972,0,"[0.6572506045806246, 1.0736382872568729e-261]","[0.6013656953535932, 4.063328624079794e-208]"
participant-004,"[[2.9872495016036202, 3.2061805335178186], [1.7333310466827907, 1.605219115710271], [2.1205596902449955, 2.4326436648820886]]",1.7474565987345103,0,"[[3.9103888630670895, 4.0080281415193175], [2.5458268198609786, 2.5216405098775176], [2.3844347821215677, 2.5443767546896314]]",3.016123542585806,1,"[[2.963931408684906, 3.4022763815411396], [1.9401966341368972, 1.8873696798686872], [1.7072914882601868, 2.174476452655741]]",2.0352956955650416,8,"[[6.081159606407089, 6.435508666484805], [3.8495109582746707, 3.6365964695236466], [3.9051819737403592, 4.527072602080798]]",3.526095482506105,1,"[[7.419397963124733, 8.305115191829687], [5.020185351438947, 4.907863087476521], [4.471522246517189, 5.620234209471334]]",4.709920292031876,13,"[[4.194945353958786, 4.22850729477415], [2.325974255323058, 2.120227204342888], [3.0949858692845003, 3.2718956266129173]]",2.3262344880321417,0,"[-0.5661345648393019, 7.821303911742802e-175]","[-0.5721548531003734, 2.2963602554994368e-179]"
participant-005,"[[0.728283031865394, 0.7880970040584517], [0.39497763592363827, 0.39024890694944186], [0.5393058554719516, 0.5958842562089943]]",0.43320208347380035,2,"[[1.267176307266617, 1.2354001704355322], [0.7299421798679723, 0.8713480845098557], [0.848652024699712, 0.6629354830228337]]",0.9271040254585147,1,"[[1.14013143489631, 0.8962754538609332], [0.5754107593170634, 0.4525918692054284], [0.8544484761622242, 0.6736787861731418]]",0.6700841274497217,5,"[[2.4899325217141386, 2.1667542919236156], [1.2180327394855037, 1.1036987962904854], [1.9208378128176036, 1.6295551523098728]]",1.1653275765968756,8,"[[2.128850985731335, 2.4041170491464574], [1.1579297992778916, 1.1001690562820094], [1.5447375387146105, 1.909389180950749]]",1.642374187644327,12,"[[1.1363721758533796, 1.2568818544500633], [0.7537694231139244, 0.7112130864879801], [0.6397433180886583, 0.827151817195912]]",0.6861790368912357,0,"[-0.009414561279062289, 0.6697204639041842]","[-0.09751588409036191, 9.49045188349767e-06]"
participant-006,"[[1.1240378558626472, 1.4001503035970835], [0.3406590015469691, 0.3265904365156679], [1.0148495048006279, 1.321678653216339]]",0.8649612041303465,6,"[[1.2797917246568227, 1.2698490310347272], [0.5574892887811849, 0.623526498688804], [1.0801532918591807, 1.0149060545077266]]",1.0088692917593725,7,"[[1.6357721833191345, 1.8491845278541181], [0.3797475930799639, 0.45339510517531495], [1.5481108293385821, 1.7459649447465297]]",1.1163418013797701,6,"[[1.6026658036714918, 1.5807290569536088], [0.7110983723666725, 0.776530487872484], [1.2882444815663818, 1.2353516249541352]]",0.9563126944673418,7,"[[1.3786325288503376, 1.4344066608769968], [0.762666727664227, 0.7591130378958663], [0.9818050795291398, 1.0609694136111754]]",1.1605379098696147,14,"[[0.9723481353806721, 1.4281079622770716], [0.22178372820152356, 0.3624849790328363], [0.9037527687061991, 1.3317368693097003]]",0.8189235940628224,0,"[0.49741206836401264, 2.1272796302402564e-134]","[0.3803807045720087, 9.113310126963951e-75]"
participant-007,"[[2.898736882646484, 2.8941924616447467], [2.7456833088070045, 1.2262083678390914], [0.6206437918176865, 2.3426505970550706]]",1.6545017174822185,0,"[[3.458217845111722, 2.8434587700617526], [3.43087967436885, 0.7312780068037527], [0.32025628051029187, 2.558656560551561]]",2.237307967474416,4,"[[3.4399717521014384, 2.6045539725610536], [3.3952018461287676, 0.4810056347722584], [0.4492019406890033, 2.539215252775739]]",1.534851081150298,6,"[[2.639632989210994, 3.1730313885460197], [2.353363349203209, 1.609909396517801], [0.8321899065573316, 2.3514822680136307]]",1.8166879742793398,2,"[[3.3982271577254397, 3.134104265071158], [3.146006003675609, 0.8929772743429941], [1.0244782872282923, 2.8893225185834153]]",1.850960710909084,9,"[[2.5180032171451376, 4.114802914084335], [2.416162941519954, 3.2098698383098836], [0.49578755562325477, 1.9478588015330853]]",2.368644064064554,14,"[0.6243590391685838, 2.8070922912329037e-232]","[0.15583253536795683, 3.89632832976001e-13]"
participant-008,"[[0.7809517244290453, 2.590447873921811], [0.6088380085366734, 0.8153008067408646], [0.36313377973823685, 2.388523169744993]]",1.4897142376777615,3,"[[1.4435690122011542, 2.8454026584028544], [0.7436439783445057, 1.142253421712004], [1.1224642145543893, 2.543394904416602]]",2.2155563075529465,0,"[[1.2615565923131442, 3.797460389360408], [0.9296531354187265, 1.7042822812720893], [0.6881600465698212, 3.30147894971121]]",2.153306027301411,7,"[[1.6418271758253626, 2.841376763255021], [1.0851215451064646, 1.0860022617220948], [0.9881735154073249, 2.4915110599831793]]",1.6297482661484115,8,"[[1.5053314046343833, 3.8572140745010266], [0.9859480039878473, 1.173725218969056], [0.9323963580522256, 3.552341520969709]]",2.399687163599244,14,"[[0.9489102995470526, 3.010197125621862], [0.8201030620880934, 1.36764020080789], [0.3695022834760963, 2.5101422646453795]]",1.7059988755090565,0,"[0.4275726520037181, 2.274640544174641e-95]","[0.3315315698373218, 8.653039458773391e-56]"
participant-009,"[[3.3212280995689016, 1.1445563112474726], [1.9327079534178284, 0.4596056387301318], [2.4617569523766676, 0.9580229217408027]]",0.6656472982172895,3,"[[2.39581043920876, 0.9668680837587054], [0.9732077713525478, 0.4315712064270922], [2.051299526301895, 0.7661884083427263]]",0.7631218620612403,5,"[[2.080881588214728, 0.7998059111803669], [1.3856638412530322, 0.441418695262754], [1.4117927856669432, 0.5759431931318009]]",0.8715886140419417,5,"[[3.808819625704834, 1.7827886256701375], [2.4583435682762773, 0.998371639619007], [2.554838863555688, 1.2730186256031168]]",1.0705542735715863,6,"[[2.3907936662644134, 1.6208975159844277], [1.354122593368563, 1.0203194387748318], [1.7228786252092096, 1.044261168773302]]",1.4525347553236296,12,"[[5.109946861179143, 4.2475159399102465], [3.875091861657046, 2.920505887028288], [2.4814134573033075, 2.420254294376229]]",2.4457611476507255,0,"[-0.05202569286380247, 0.01576774078535284]","[-0.01727551908276461, 0.42302409066797597]"
participant-010,"[[1.3977329196089912, 1.8143112639382613], [0.6211419279846955, 0.7985794905767418], [1.1520226421308024, 1.4247635113847241]]",1.043405320649313,2,"[[1.3167012670934868, 1.8811530195088828], [0.8450665087495609, 0.8812467435176112], [0.8363503692931678, 1.5126140706918965]]",1.4866776536229773,4,"[[1.0319098797809942, 1.6529409888706006], [0.4711353843440477, 0.5312825444353452], [0.8108076108528338, 1.4896313468532176]]",1.0290621386352536,6,"[[2.7048367257390535, 1.4799171015212802], [0.8271057633237717, 0.8288949483225267], [2.4495360356377867, 1.038315503832867]]",0.8933016094146885,6,"[[1.4597847720124681, 1.9477208428852288], [0.8015593585856127, 0.7933346357249179], [1.0446422047024924, 1.645928159166942]]",1.4024357845747704,14,"[[1.5338698286963437, 2.287021993096545], [0.4955043247093637, 0.6376197175708493], [1.3982450003479543, 2.0953451938228254]]",1.3310118393584491,16,"[-0.6500138384215326, 1.0739165880974169e-257]","[-0.8107657636565129, 0.0]"
participant-011,"[[1.7446376034414874, 0.9250824017546486], [0.597052545315277, 0.5951862140460588], [1.6095788272599434, 0.6150581653102561]]",0.5271338951284938,3,"[[0.9568298085052884, 1.9076899553434579], [0.49386773416505264, 0.832860481591915], [0.7369591312464093, 1.6479650405591495]]",1.4821144567185642,0,"[[2.9532405096816943, 1.742375811736844], [0.759002789959064, 0.5152821068910843], [2.827927216175771, 1.5876369316313501]]",1.1727252582713792,6,"[[2.120899857947602, 2.106539478579187], [1.138526300990126, 1.3827726839223573], [1.55646907547731, 1.2887927868284883]]",0.8261974866189895,10,"[[3.1391997904036395, 2.161170805951419], [1.2248626602303803, 0.9948737585250368], [2.6838304473154344, 1.7084334808627004]]",1.3457493143903319,5,"[[1.3944649928816304, 2.417552829358379], [0.547392086932512, 1.17090666944146], [1.1819637662962486, 1.9609324613425032]]",1.3892145445408328,16,"[-0.13624327044470014, 3.3655529028411093e-10]","[-0.13219832217071045, 1.1097049894487024e-09]"
participant-012,"[[4.445748287877031, 1.8637356929241353], [1.0374002529766304, 1.0393145757177231], [4.231812550666197, 1.3920773541032878]]",1.0162844276076486,0,"[[6.502752262145709, 3.264519310182795], [1.952736040646399, 1.4631681559079088], [6.007421440102953, 2.611426127569999]]",1.2000418659861996,0,"[[4.928426529193121, 1.6414230078040974], [1.4627007319004222, 0.9308634471579148], [4.674872334861433, 1.2043240247747748]]",1.0013072217412795,5,"[[3.7958584284244834, 1.95118753874449], [1.395581434359453, 1.1702378559799127], [3.3870973486071567, 1.2782918786927013]]",1.099045249667953,0,"[[4.888073614049408, 2.2406427272101643], [1.3332658152848746, 1.2048610315506074], [4.6011380055004025, 1.6560819503768796]]",1.4462046014405738,9,"[[6.798312706506617, 5.929358998953655], [2.0824443828972403, 1.9732471858527711], [6.084096569348881, 5.32207519188623]]",3.301888959796875,8,"[0.4824770247345289, 1.97949971680253e-122]","[0.5198644728016735, 3.440833111071084e-145]"
participant-013,"[[3.3619036091630843, 3.755702886232762], [1.1332612018345765, 1.1397673251052163], [2.920047350603521, 3.4354612448255866]]",2.051961260469951,5,"[[1.671537702903367, 3.913980917938276], [0.6872651995997082, 0.7960805375923865], [1.396095374390493, 3.7499557745099255]]",2.93899063873139,3,"[[2.6202450208361037, 2.7455024349691715], [0.5154459553740613, 0.784813137040449], [2.519444995680022, 2.5380845076677354]]",1.6973600425109028,5,"[[3.1663768090777027, 4.583786029281639], [1.3840349743823355, 1.4456817862040658], [2.5846625321340992, 4.058886800969436]]",2.7293633763451064,14,"[[2.5785687444949246, 4.663978780352117], [1.0821636820355325, 1.3232807739293975], [2.1379817670538146, 4.25872536594133]]",2.7705819898320576,12,"[[4.080261290248957, 5.954445179107213], [1.77598112447379, 1.8385180551302678], [3.2742639648875875, 5.4106596794505055]]",3.4092659532082057,17,"[-0.5024295190616468, 1.9986564122512982e-135]","[-0.3328212941467722, 8.940684977777627e-56]"
participant-014,"[[5.111913540398597, 5.702547516412699], [3.382539590911165, 3.5972861725301075], [3.0359856945633887, 3.7422184042063815]]",3.090306956801466,8,"[[2.3384617586033793, 2.5136380690376563], [1.0378040412351697, 1.2242473087763457], [1.955043417542601, 1.9302353670338495]]",1.9760714983199998,10,"[[4.883392808730651, 4.813565462578896], [3.966574389382472, 3.408225833946806], [2.078000773086045, 2.8991462602750753]]",2.4981279438182167,6,"[[5.89418858175628, 6.534256234142086], [3.6835199523074094, 3.6340537695131547], [3.7532566013495208, 4.601036326743281]]",3.7801619276024683,19,"[[5.339604046934164, 5.205296089033709], [4.290150948575147, 4.291255759117768], [2.251968178492813, 2.283458697202869]]",3.134226868612079,13,"[[2.75972963415076, 5.227562197246518], [1.8548456244518983, 1.9434854690387857], [1.8746227056603046, 4.6670728454581205]]",2.4723287952845387,0,"[-0.310306156484667, 5.186398694384823e-41]","[-0.6645519756686491, 3.934842402959596e-227]"
participant-015,"[[1.6643611317389853, 2.125631713698558], [1.2098761714108932, 1.396778671724409], [0.9603139977089938, 1.3475231955717282]]",1.1799980943008685,1,"[[1.7860177225468703, 1.9955803295342431], [0.8931533097613835, 1.1011824594267052], [1.4190817005551948, 1.2822442695903686]]",1.5754681997865376,4,"[[2.155340815709872, 2.378547315794757], [1.429666000575297, 1.3205815516751183], [1.3950897432813467, 1.7921168943040071]]",1.4357266883732227,5,"[[1.8991679102833912, 2.0881129413896176], [1.1657170818449403, 1.1545106233818956], [1.2628374702897038, 1.5313059180930335]]",1.2420929573298938,7,"[[2.524294362642982, 3.0598894519188624], [1.1856591435757005, 1.256597196350046], [2.0039392354061385, 2.5835564909586894]]",1.6726963765508343,14,"[[1.988762099609285, 2.6921762521228114], [1.4108573857878495, 1.8173899234857267], [1.1748059499137957, 1.7984417840118088]]",1.448232689874669,0,"[-0.3264639390560909, 1.1341613987102716e-51]","[-0.5518323303185075, 2.6634454907148224e-162]"
participant-016,"[[0.8165949548910337, 0.7837071847909616], [0.521961436016069, 0.45006761111563004], [0.540076907896689, 0.5580438294869842]]",0.45366244649025883,4,"[[1.2748395940298323, 0.9069191719809495], [0.9961703152877067, 0.6899380924182937], [0.6366180662662838, 0.4526193577822891]]",0.7585268675993163,5,"[[1.1539987020854072, 1.1314197037795908], [0.7871893903645519, 0.5990691634565785], [0.6708300775518339, 0.8298638173098295]]",1.1240266361517834,6,"[[4.831486864274729, 4.954555287882885], [3.1025291929042864, 2.9673472842697244], [2.995352576727864, 3.266922775784755]]",2.825177797989351,10,"[[2.7848454724638136, 2.714886914037904], [1.7210661599517965, 1.616732868196617], [1.8134974767652978, 1.8080484892771587]]",1.985125001081267,12,"[[1.3308514922992327, 1.3828952329992708], [0.8087329549746288, 0.8959856430950358], [0.8991421723291003, 0.8731195544890158]]",0.7929282844944282,15,"[0.7285572824691333, 0.0]","[0.7349208958439151, 0.0]"
participant-017,"[[1.3147110185843802, 0.8740354126890609], [0.6999890935395844, 0.5482451009686893], [0.9449217919273921, 0.5549608109588097]]",0.5101574591538907,3,"[[2.152422174716143, 1.6052519943639734], [1.5829829145084389, 1.3035942060665313], [1.15113324111522, 0.6694110929789718]]",1.2343222615238851,0,"[[1.4006233293238937, 0.981226793683275], [1.1107953454309443, 0.8002183269794887], [0.7140180411531802, 0.44291748827760635]]",0.7862774274747358,5,"[[2.368472766298364, 1.980345196020608], [1.357906573290129, 1.2665109943774067], [1.6232730298186562, 1.2430781594383944]]",1.2008143944140597,9,"[[2.7989697375534206, 2.5397720088153224], [1.7747880331482508, 1.693986020944215], [1.7372447188259028, 1.485435047919046]]",1.9580216179428063,14,"[[1.60747748955854, 1.6837683923726672], [1.2072249257258025, 1.3452352608054647], [0.8668059047621941, 0.878577089559585]]",0.9929574025999115,16,"[0.4989985000442568, 4.532757088558949e-134]","[0.5374024340651142, 3.500855047692571e-159]"
